STATEFP,STATE,SLDUST,GEOID,NAMELSAD,Area,Perimeter,Polsby-Popper,Schwartzberg Radius,Schwartsberg Perimeter,Schwartzberg,Convex Hull Area,Area/Convex Hull,MBC Area,Reock
49,UT,002,49002,State Senate District 2,320489068.5730,96891.9787338,42.89899003400,10100.24381430,63461.6499291,65.49732058160,373846872.4720,85.72736384120,613295693.283,52.25685947
49,UT,003,49003,State Senate District 3,54681015.7904,45034.5713054,33.88082719360,4171.99264315,26213.3807356,58.20723940690,74120724.0771,73.77291097900,122001156.738,44.82007979
49,UT,004,49004,State Senate District 4,58965343.9264,42023.9319392,41.95782471780,4332.35129782,27220.9430274,64.77485987460,74665235.4152,78.97295655540,150613705.702,39.15005188
49,UT,005,49005,State Senate District 5,36652870.7935,37259.4111151,33.17764225220,3415.69626654,21461.4344680,57.60003667720,50998835.8587,71.87001463140,86369179.651,42.43744232
49,UT,006,49006,State Senate District 6,52562261.4955,42188.5560503,37.11027877720,4090.36692808,25700.5116752,60.91820645520,65653031.0360,80.06067757430,106539499.988,49.33593785
49,UT,007,49007,State Senate District 7,1106705560.8200,254712.9026680,21.43580014470,18769.00686390,117929.0485470,46.29881223600,1483398426.4600,74.60608971120,3815887756.140,29.00257113
49,UT,008,49008,State Senate District 8,284506937.0140,115453.6446820,26.82174704660,9516.37784209,59793.1149299,51.78971620570,393566326.3970,72.28945108660,728696755.573,39.04325563
49,UT,009,49009,State Senate District 9,180872955.1520,94364.8523631,25.52481493170,7587.73341642,47675.0948474,50.52208916090,250410473.3770,72.23058712870,507378165.310,35.64854925
49,UT,010,49010,State Senate District 10,126163813.5050,78836.9747762,25.50846960260,6337.13050507,39817.3316468,50.50591015170,184565421.7340,68.35723198840,230566220.192,54.71912295
49,UT,011,49011,State Senate District 11,159027448.5970,81236.6366072,30.28152340750,7114.77700423,44703.4245774,55.02865018100,202849421.4330,78.39679673400,302194567.908,52.62419166
49,UT,012,49012,State Senate District 12,590070638.1760,155760.4670490,30.56321386770,13704.94349960,86110.6268978,55.28400660910,744165898.7070,79.29288874980,1239075716.720,47.62183862
49,UT,013,49013,State Senate District 13,1072823401.8400,185914.8195840,39.00405108210,18479.46382830,116109.7975370,62.45322336150,1241926284.0300,86.38382290760,2085212850.390,51.44910754
49,UT,014,49014,State Senate District 14,324990230.6510,142940.7707660,19.98791823190,10170.92378830,63905.7449282,44.70784968190,474015392.2780,68.56111340380,867529184.736,37.4615905
49,UT,015,49015,State Senate District 15,67323068.2845,50562.1013808,33.09201160420,4629.21335693,29086.1807800,57.52565654050,83998076.6323,80.14834503800,250463584.017,26.8793839
49,UT,016,49016,State Senate District 16,547676695.1340,161956.8806710,26.23825516280,13203.44855500,82959.6438918,51.22329075990,774602534.1690,70.70422196870,1117506013.000,49.00883653
49,UT,017,49017,State Senate District 17,37211510423.3000,1022308.0455500,44.74280819660,108833.82586500,683822.5179980,66.89006517890,43819150340.3000,84.92065714260,69436683799.100,53.59056393
49,UT,018,49018,State Senate District 18,563483368.2140,170903.8276530,24.24303676360,13392.62775950,84148.2908859,49.23721840610,785673170.1970,71.71981806030,1414426752.660,39.83828552
49,UT,019,49019,State Senate District 19,3281969497.5500,455231.5174450,19.90120589950,32321.57514150,203082.2744980,44.61076764580,4383709976.4000,74.86739577250,6953011304.360,47.2021309
49,UT,020,49020,State Senate District 20,656975655.5730,128341.0702360,50.12189253830,14461.05192540,90861.3922366,70.79681669280,756445350.8940,86.85037918420,1767153746.760,37.17705133
49,UT,021,49021,State Senate District 21,1105640065.6200,148838.3348040,62.71821076380,18759.96963530,117872.2660130,79.19482985900,1160709767.8900,95.25551487600,1664407631.860,66.42844244
49,UT,022,49022,State Senate District 22,293189255.7940,106661.6585180,32.38477496090,9660.49261013,60698.6139581,56.90762247790,377239801.5690,77.71959760730,674783870.418,43.44935744
49,UT,023,49023,State Senate District 23,190659327.2630,84124.3199295,33.85512493130,7790.30166442,48947.8676119,58.18515698300,256238802.2290,74.40689138590,425943390.495,44.76165883
49,UT,024,49024,State Senate District 24,69394893034.3000,1658672.0186100,31.69684026970,148624.01946300,933831.4666100,56.29994695350,93490495486.0000,74.22668226710,135443321715.000,51.23537444
49,UT,025,49025,State Senate District 25,4678634099.2800,422953.6261450,32.86571414500,38590.88941130,242473.5045310,57.32862648350,6075660649.3900,77.00617873960,12278859763.300,38.10316421
49,UT,026,49026,State Senate District 26,28190858599.0000,960845.2562550,38.37168757190,94728.22478860,595194.4874270,61.94488483470,33902799502.8000,83.15200813040,54190552424.800,52.02172212
49,UT,027,49027,State Senate District 27,47903212459.8000,1725064.1760000,20.22849736590,123483.11214700,775866.6205800,44.97610183870,73562681920.6000,65.11890432640,163459587641.000,29.30584443
49,UT,028,49028,State Senate District 28,17388170243.2000,763474.9285800,37.48640739980,74396.44592400,467446.2611010,61.22614425210,20949122245.4000,83.00190356190,34594843547.900,50.26231791
49,UT,029,49029,State Senate District 29,3631379195.0900,345057.3023110,38.32645516640,33998.60106870,213619.3302630,61.90836386660,4001043587.2100,90.76080067460,6816249593.760,53.27532604
51,VA,001,51001,State Senate District 1,469363456.2850,195215.3000690,15.47715261890,12223.05831390,76799.6755367,39.34101246650,798672029.6250,58.76798471400,3042270328.430,15.42806541
51,VA,002,51002,State Senate District 2,381471383.1920,178304.2669800,15.07814753940,11019.35638460,69236.5996486,38.83059044030,792824592.1850,48.11548316640,1706813104.690,22.34992116
51,VA,003,51003,State Senate District 3,4399646207.3800,705961.2494320,11.09342178390,37422.61437190,235133.0221690,33.30678877320,6666552440.2000,65.99582388120,16620460103.100,26.47126602
51,VA,004,51004,State Senate District 4,6284766683.6200,672419.0337770,17.46701367200,44727.00590820,281027.8289820,41.79355652730,9053091288.6600,69.42122290860,17630385824.500,35.64735761
51,VA,005,51005,State Senate District 5,177234547.5620,114953.8893490,16.85429296270,7511.02897841,47193.1470566,41.05398027320,310344140.6540,57.10903617790,482938141.900,36.6992234
